Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"Munich Cowboys",QB,"Tom Brady QB •",73,QB,,
"Munich Cowboys",RB,"LeSean McCoy RB •",91,RB,,
"Munich Cowboys",RB,"Ahmad Bradshaw RB •",28,RB,,
"Munich Cowboys",WR,"Jeremy Maclin WR •",14,WR,,
"Munich Cowboys",WR,"Brandon Lloyd WR •",23,WR,,
"Munich Cowboys",WR,"Titus Young WR •",4,WR,,
"Munich Cowboys",TE,"Antonio Gates TE •",20,TE,,
"Munich Cowboys",K,"Matt Prater K • ARI",1,K,,
"Munich Cowboys",DST,"Texans DST • HOU",1,DST,,
"Munich Cowboys",RB,"BenJarvus Green-Ellis RB •",9,RB,,
"Munich Cowboys",WR,"Robert Meachem WR •",2,WR,,
"Munich Cowboys",WR,"Nate Washington WR •",4,WR,,
"Munich Cowboys",RB,"Ben Tate RB •",10,RB,,
"Munich Cowboys",RB,"David Wilson RB •",7,RB,,
"Munich Cowboys",TE,"Jason Witten TE •",4,TE,,
"Munich Cowboys",RB,"C.J. Spiller RB •",2,RB,,
"DONORA DRAGONS",QB,"Matthew Stafford QB • LAR",52,QB,,
"DONORA DRAGONS",RB,"Darren McFadden RB •",78,RB,,
"DONORA DRAGONS",RB,"Trent Richardson RB •",31,RB,,
"DONORA DRAGONS",WR,"A.J. Green WR •",43,WR,,
"DONORA DRAGONS",WR,"Hakeem Nicks WR •",33,WR,,
"DONORA DRAGONS",WR,"Vincent Jackson WR •",18,WR,,
"DONORA DRAGONS",TE,"Greg Olsen TE •",2,TE,,
"DONORA DRAGONS",K,"Dan Bailey K •",3,K,,
"DONORA DRAGONS",DST,"Steelers DST • PIT",3,DST,,
"DONORA DRAGONS",QB,"Ben Roethlisberger QB •",9,QB,,
"DONORA DRAGONS",RB,"Jonathan Stewart RB •",3,RB,,
"DONORA DRAGONS",WR,"Randy Moss WR •",7,WR,,
"DONORA DRAGONS",TE,"Fred Davis TE •",5,TE,,
"DONORA DRAGONS",WR,"Emmanuel Sanders WR •",1,WR,,
"DONORA DRAGONS",WR,"Sidney Rice WR •",3,WR,,
"DONORA DRAGONS",RB,"Roy Helu RB •",1,RB,,
"MASTERS OF DISASTER",QB,"Matt Ryan QB •",19,QB,,
"MASTERS OF DISASTER",RB,"Steven Jackson RB •",34,RB,,
"MASTERS OF DISASTER",RB,"Doug Martin RB •",37,RB,,
"MASTERS OF DISASTER",WR,"Kenny Britt WR •",13,WR,,
"MASTERS OF DISASTER",WR,"Miles Austin WR •",17,WR,,
"MASTERS OF DISASTER",WR,"DeSean Jackson WR •",40,WR,,
"MASTERS OF DISASTER",TE,"Brandon Pettigrew TE •",9,TE,,
"MASTERS OF DISASTER",K,"Mason Crosby K •",5,K,,
"MASTERS OF DISASTER",DST,"Eagles DST • PHI",3,DST,,
"MASTERS OF DISASTER",RB,"Fred Jackson RB •",36,RB,,
"MASTERS OF DISASTER",QB,"Jay Cutler QB •",4,QB,,
"MASTERS OF DISASTER",QB,"Robert Griffin III QB •",5,QB,,
"MASTERS OF DISASTER",RB,"Shonn Greene RB •",11,RB,,
"MASTERS OF DISASTER",RB,"Reggie Bush RB •",15,RB,,
"MASTERS OF DISASTER",WR,"Dwayne Bowe WR •",21,WR,,
"MASTERS OF DISASTER",WR,"Torrey Smith WR •",21,WR,,
"LEEDS UNITED",QB,"Mike Vick QB •",23,QB,,
"LEEDS UNITED",RB,"Ray Rice RB •",96,RB,,
"LEEDS UNITED",RB,"DeMarco Murray RB •",52,RB,,
"LEEDS UNITED",WR,"Percy Harvin WR •",22,WR,,
"LEEDS UNITED",WR,"Steve Smith WR •",23,WR,,
"LEEDS UNITED",WR,"Pierre Garcon WR •",8,WR,,
"LEEDS UNITED",TE,"Jimmy Graham TE • NO",50,TE,,
"LEEDS UNITED",K,"Nate Kaeding •",1,K,,
"LEEDS UNITED",DST,"Giants DST • NYG",1,DST,,
"LEEDS UNITED",QB,"Andrew Luck QB •",3,QB,,
"LEEDS UNITED",WR,"Darrius Heyward-Bey WR •",7,WR,,
"LEEDS UNITED",RB,"Donald Brown RB •",5,RB,,
"LEEDS UNITED",WR,"Doug Baldwin WR •",4,WR,,
"LEEDS UNITED",RB,"James Starks RB •",1,RB,,
"LEEDS UNITED",WR,"Danny Amendola WR •",1,WR,,
"LEEDS UNITED",DST,"Falcons DST • ATL",2,DST,,
"HOMERS HEROES",QB,"Aaron Rodgers QB • NYJ",90,QB,,
"HOMERS HEROES",RB,"Matt Forte RB •",54,RB,,
"HOMERS HEROES",RB,"Ryan Williams RB •",4,RB,,
"HOMERS HEROES",WR,"Calvin Johnson WR •",90,WR,,
"HOMERS HEROES",WR,"Wes Welker WR •",35,WR,,
"HOMERS HEROES",WR,"Denarius Moore WR •",1,WR,,
"HOMERS HEROES",TE,"Brent Celek TE •",2,TE,,
"HOMERS HEROES",K,"Robbie Gould K •",1,K,,
"HOMERS HEROES",DST,"Bears DST • CHI",1,DST,,
"HOMERS HEROES",RB,"Kendall Hunter RB •",3,RB,,
"HOMERS HEROES",RB,"Stevan Ridley RB •",13,RB,,
"HOMERS HEROES",QB,"Joe Flacco QB • CLE",1,QB,,
"HOMERS HEROES",RB,"Pierre Thomas RB •",1,RB,,
"HOMERS HEROES",RB,"Jacquizz Rodgers RB •",1,RB,,
"HOMERS HEROES",TE,"Jacob Tamme TE •",2,TE,,
"HOMERS HEROES",WR,"Michael Crabtree WR •",1,WR,,
"ROCK STARS",QB,"Cam Newton QB •",52,QB,,
"ROCK STARS",RB,"Jamaal Charles RB •",50,RB,,
"ROCK STARS",RB,"Darren Sproles RB •",19,RB,,
"ROCK STARS",WR,"Jordy Nelson WR •",35,WR,,
"ROCK STARS",WR,"Julio Jones WR •",56,WR,,
"ROCK STARS",WR,"Antonio Brown WR • TB",18,WR,,
"ROCK STARS",TE,"Aaron Hernandez TE •",31,TE,,
"ROCK STARS",K,"Jason Hanson •",1,K,,
"ROCK STARS",DST,"Jets DST • NYJ",1,DST,,
"ROCK STARS",RB,"Toby Gerhart RB •",9,RB,,
"ROCK STARS",WR,"Greg Little WR •",1,WR,,
"ROCK STARS",RB,"Daniel Thomas RB •",1,RB,,
"ROCK STARS",WR,"Justin Blackmon WR •",5,WR,,
"ROCK STARS",WR,"Anquan Boldin WR •",5,WR,,
"ROCK STARS",RB,"Mikel Leshoure RB •",1,RB,,
"ROCK STARS",QB,"Alex Smith QB •",1,QB,,
"GENERALS",QB,"Drew Brees QB •",84,QB,,
"GENERALS",RB,"Marshawn Lynch RB •",41,RB,,
"GENERALS",RB,"Isaac Redman RB •",7,RB,,
"GENERALS",WR,"Roddy White WR •",46,WR,,
"GENERALS",WR,"Dez Bryant WR •",25,WR,,
"GENERALS",WR,"Marques Colston WR •",22,WR,,
"GENERALS",TE,"Jermichael Finley TE •",21,TE,,
"GENERALS",K,"Garrett Hartley K •",2,K,,
"GENERALS",DST,"Cowboys DST • DAL",1,DST,,
"GENERALS",RB,"Michael Turner •",30,RB,,
"GENERALS",DST,"Lions DST • DET",2,DST,,
"GENERALS",RB,"Beanie Wells •",5,RB,,
"GENERALS",RB,"LeGarrette Blount RB •",1,RB,,
"GENERALS",WR,"Randall Cobb WR •",2,WR,,
"GENERALS",WR,"Malcom Floyd WR •",4,WR,,
"GENERALS",TE,"Jared Cook TE •",1,TE,,
"LA LOSERS",QB,"Philip Rivers QB •",16,QB,,
"LA LOSERS",RB,"Adrian Peterson RB •",50,RB,,
"LA LOSERS",RB,"Frank Gore RB •",11,RB,,
"LA LOSERS",WR,"Larry Fitzgerald WR •",39,WR,,
"LA LOSERS",WR,"Brandon Marshall WR •",35,WR,,
"LA LOSERS",WR,"Reggie Wayne WR •",5,WR,,
"LA LOSERS",TE,"Rob Gronkowski TE •",55,TE,,
"LA LOSERS",K,"Sebastian Janikowski K •",3,K,,
"LA LOSERS",DST,"Ravens DST • BAL",1,DST,,
"LA LOSERS",RB,"Willis McGahee RB •",19,RB,,
"LA LOSERS",RB,"Peyton Hillis RB •",9,RB,,
"LA LOSERS",WR,"Eric Decker WR •",33,WR,,
"LA LOSERS",QB,"Matt Schaub QB •",3,QB,,
"LA LOSERS",RB,"Michael Bush RB •",4,RB,,
"LA LOSERS",QB,"Carson Palmer QB •",1,QB,,
"LA LOSERS",RB,"DeAngelo Williams RB •",8,RB,,
"POLISH POWER",QB,"Tony Romo QB •",15,QB,,
"POLISH POWER",RB,"Maurice Jones-Drew RB •",52,RB,,
"POLISH POWER",RB,"Ryan Mathews RB •",32,RB,,
"POLISH POWER",WR,"Greg Jennings WR •",45,WR,,
"POLISH POWER",WR,"Demaryius Thomas WR •",27,WR,,
"POLISH POWER",WR,"Mike Wallace WR •",44,WR,,
"POLISH POWER",TE,"Vernon Davis TE •",21,TE,,
"POLISH POWER",K,"Stephen Gostkowski K •",8,K,,
"POLISH POWER",DST,"49ers DST • SF",3,DST,,
"POLISH POWER",QB,"Peyton Manning QB •",17,QB,,
"POLISH POWER",RB,"Mark Ingram RB •",11,RB,,
"POLISH POWER",WR,"Lance Moore WR •",5,WR,,
"POLISH POWER",RB,"Rashard Mendenhall RB •",10,RB,,
"POLISH POWER",RB,"Kevin Smith •",5,RB,,
"POLISH POWER",TE,"Owen Daniels TE •",1,TE,,
"POLISH POWER",WR,"Santana Moss WR •",4,WR,,
"EGYPTIAN MAGICIANS",QB,"Eli Manning QB •",25,QB,,
"EGYPTIAN MAGICIANS",RB,"Arian Foster RB •",100,RB,,
"EGYPTIAN MAGICIANS",RB,"Chris Johnson RB •",64,RB,,
"EGYPTIAN MAGICIANS",WR,"Andre Johnson WR •",32,WR,,
"EGYPTIAN MAGICIANS",WR,"Victor Cruz WR •",34,WR,,
"EGYPTIAN MAGICIANS",WR,"Steve Johnson WR •",14,WR,,
"EGYPTIAN MAGICIANS",TE,"Tony Gonzalez TE •",9,TE,,
"EGYPTIAN MAGICIANS",K,"David Akers K •",2,K,,
"EGYPTIAN MAGICIANS",DST,"Packers DST • GB",1,DST,,
"EGYPTIAN MAGICIANS",RB,"Cedric Benson •",5,RB,,
"EGYPTIAN MAGICIANS",WR,"Kendall Wright WR •",1,WR,,
"EGYPTIAN MAGICIANS",WR,"Mike Williams WR •",1,WR,,
"EGYPTIAN MAGICIANS",RB,"Ronnie Hillman RB •",1,RB,,
"EGYPTIAN MAGICIANS",WR,"Santonio Holmes WR •",2,WR,,
"EGYPTIAN MAGICIANS",K,"Alex Henery K •",1,K,,
"EGYPTIAN MAGICIANS",RB,"Jonathan Dwyer RB •",1,RB,,