Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS,Year
"Munich Cowboys",RB,"Ezekiel Elliott RB • LAC",72,RB,117.0,114.0,2021
"Munich Cowboys",WR,"A.J. Brown WR • PHI",53,WR,66.0,42.0,2021
"Munich Cowboys",RB,"David Montgomery RB • DET",40,RB,75.0,50.0,2021
"Munich Cowboys",WR,"Calvin Ridley WR • TEN",56,WR,22.0,22.0,2021
"Munich Cowboys",TE,"T.J. Hockenson TE • MIN",11,TE,42.0,11.0,2021
"Munich Cowboys",RES,"Darrell Henderson Jr. RB •",18,RB,74.0,44.0,2021
"Munich Cowboys",RES,"Kyle Pitts TE • ATL",20,TE,43.0,25.0,2021
"Munich Cowboys",WR,"Marquise Brown WR • KC",3,WR,78.0,56.0,2021
"Munich Cowboys",RES,"Robbie Chosen WR • MIA",8,WR,40.0,18.0,2021
"Munich Cowboys",RES,"Tony Pollard RB • TEN",4,RB,51.0,0.0,2021
"Munich Cowboys",K,"Matt Gay K • WAS",1,K,155.0,49.0,2021
"Munich Cowboys",RES,"Trey Sermon RB • PIT",6,RB,11.0,0.0,2021
"Munich Cowboys",QB,"Jalen Hurts QB • PHI",1,QB,202.0,202.0,2021
"Munich Cowboys",DST,"Broncos DST • DEN",1,DST,76.0,4.0,2021
"Munich Cowboys",RES,"Darnell Mooney WR • ATL",1,WR,64.0,19.0,2021
"Munich Cowboys",RES,"Trey Lance QB • LAC",5,QB,47.0,0.0,2021
"DONORA DRAGONS",RB,"Christian McCaffrey RB • SF",101,RB,37.0,37.0,2021
"DONORA DRAGONS",RB,"Saquon Barkley RB • PHI",55,RB,52.0,36.0,2021
"DONORA DRAGONS",QB,"Dak Prescott QB • DAL",23,QB,234.0,234.0,2021
"DONORA DRAGONS",WR,"Amari Cooper WR • BUF",28,WR,78.0,77.0,2021
"DONORA DRAGONS",WR,"Diontae Johnson WR • CLE",12,WR,96.0,78.0,2021
"DONORA DRAGONS",RES,"Myles Gaskin RB • JAC",9,RB,62.0,9.0,2021
"DONORA DRAGONS",RES,"Javonte Williams RB • DAL",8,RB,79.0,46.0,2021
"DONORA DRAGONS",WR,"Brandon Aiyuk WR • SF",12,WR,56.0,5.0,2021
"DONORA DRAGONS",RES,"Jerry Jeudy WR • CLE",11,WR,14.0,3.0,2021
"DONORA DRAGONS",RES,"Ja'Marr Chase WR • CIN",8,WR,163.0,135.0,2021
"DONORA DRAGONS",RES,"Leonard Fournette RB •",4,RB,101.0,60.0,2021
"DONORA DRAGONS",RES,"Brandin Cooks WR • NO",4,WR,79.0,6.0,2021
"DONORA DRAGONS",K,"Jason Myers K • SEA",1,K,90.0,25.0,2021
"DONORA DRAGONS",DST,"Steelers DST • PIT",2,DST,77.0,3.0,2021
"DONORA DRAGONS",TE,"Tyler Higbee TE • LAR",4,TE,31.0,28.0,2021
"DONORA DRAGONS",RES,"Ryan Tannehill QB • TEN",18,QB,181.0,35.0,2021
"MASTERS OF DISASTER",TE,"Travis Kelce TE • KC",68,TE,113.0,97.0,2021
"MASTERS OF DISASTER",WR,"DK Metcalf WR • PIT",48,WR,106.0,106.0,2021
"MASTERS OF DISASTER",RB,"Kareem Hunt RB • KC",20,RB,48.0,38.0,2021
"MASTERS OF DISASTER",QB,"Lamar Jackson QB • BAL",35,QB,161.0,148.0,2021
"MASTERS OF DISASTER",RB,"J.K. Dobbins RB • LAC",39,RB,0.0,0.0,2021
"MASTERS OF DISASTER",RES,"D'Andre Swift RB • CHI",27,RB,74.0,73.0,2021
"MASTERS OF DISASTER",WR,"Julio Jones WR •",26,WR,15.0,0.0,2021
"MASTERS OF DISASTER",RES,"Raheem Mostert RB • LV",7,RB,0.0,0.0,2021
"MASTERS OF DISASTER",K,"Justin Tucker K • BAL",1,K,136.0,143.0,2021
"MASTERS OF DISASTER",WR,"Courtland Sutton WR • DEN",9,WR,38.0,35.0,2021
"MASTERS OF DISASTER",DST,"Commanders DST • WAS",1,DST,62.0,7.0,2021
"MASTERS OF DISASTER",RES,"Kenny Golladay WR •",3,WR,16.0,0.0,2021
"MASTERS OF DISASTER",RES,"DeVonta Smith WR • PHI",4,WR,62.0,42.0,2021
"MASTERS OF DISASTER",RES,"Joe Burrow QB • CIN",2,QB,285.0,86.0,2021
"MASTERS OF DISASTER",RES,"Corey Davis WR •",3,WR,41.0,15.0,2021
"MASTERS OF DISASTER",RES,"Ronald Jones RB •",1,RB,35.0,9.0,2021
"LEEDS UNITED",RB,"Aaron Jones RB • MIN",69,RB,104.0,97.0,2021
"LEEDS UNITED",WR,"Tyreek Hill WR • MIA",74,WR,112.0,103.0,2021
"LEEDS UNITED",QB,"Tom Brady QB •",21,QB,270.0,263.0,2021
"LEEDS UNITED",RB,"Mike Davis RB •",17,RB,39.0,2.0,2021
"LEEDS UNITED",RES,"James Robinson RB • NO",33,RB,78.0,2.0,2021
"LEEDS UNITED",WR,"Robert Woods WR • PIT",33,WR,51.0,51.0,2021
"LEEDS UNITED",RES,"Russell Wilson QB • NYG",14,QB,154.0,18.0,2021
"LEEDS UNITED",WR,"Chase Claypool WR • BUF",21,WR,33.0,16.0,2021
"LEEDS UNITED",K,"Tyler Bass K • BUF",1,K,128.0,137.0,2021
"LEEDS UNITED",DST,"Patriots DST • NE",1,DST,107.0,62.0,2021
"LEEDS UNITED",RES,"Michael Gallup WR • WAS",5,WR,27.0,1.0,2021
"LEEDS UNITED",TE,"Logan Thomas TE • SF",3,TE,23.0,15.0,2021
"LEEDS UNITED",RES,"Michael Pittman WR • IND",1,WR,68.0,32.0,2021
"LEEDS UNITED",RES,"Mecole Hardman WR • GB",3,WR,44.0,0.0,2021
"LEEDS UNITED",RES,"Phillip Lindsay RB •",1,RB,17.0,0.0,2021
"LEEDS UNITED",RES,"Irv Smith TE • HOU",2,TE,0.0,0.0,2021
"HOMERS HEROES",RB,"Dalvin Cook RB • DAL",99,RB,84.0,87.0,2021
"HOMERS HEROES",QB,"Josh Allen QB • BUF",53,QB,276.0,289.0,2021
"HOMERS HEROES",WR,"Davante Adams WR • LAR",88,WR,130.0,127.0,2021
"HOMERS HEROES",RB,"Antonio Gibson RB • NE",44,RB,93.0,73.0,2021
"HOMERS HEROES",RES,"Tua Tagovailoa QB • MIA",1,QB,124.0,11.0,2021
"HOMERS HEROES",RES,"Michael Carter RB • ARI",2,RB,51.0,12.0,2021
"HOMERS HEROES",DST,"Colts DST • IND",1,DST,97.0,13.0,2021
"HOMERS HEROES",WR,"Jarvis Landry WR •",3,WR,34.0,7.0,2021
"HOMERS HEROES",K,"Mason Crosby K •",1,K,127.0,1.0,2021
"HOMERS HEROES",WR,"Curtis Samuel WR • BUF",1,WR,1.0,0.0,2021
"HOMERS HEROES",RES,"Jaylen Waddle WR • MIA",2,WR,69.0,59.0,2021
"HOMERS HEROES",TE,"Rob Gronkowski TE •",1,TE,59.0,6.0,2021
"HOMERS HEROES",RES,"Noah Fant TE • SEA",1,TE,43.0,10.0,2021
"HOMERS HEROES",RES,"Laviska Shenault Jr. WR • BUF",1,WR,16.0,2.0,2021
"HOMERS HEROES",RES,"Marvin Jones WR •",1,WR,41.0,9.0,2021
"HOMERS HEROES",RES,"A.J. Green WR •",1,WR,49.0,4.0,2021
"ROCK STARS",RB,"Jonathan Taylor RB • IND",71,RB,208.0,208.0,2021
"ROCK STARS",RB,"Joe Mixon RB • HOU",49,RB,169.0,121.0,2021
"ROCK STARS",TE,"Darren Waller TE •",40,TE,35.0,35.0,2021
"ROCK STARS",QB,"Justin Herbert QB • LAC",13,QB,263.0,246.0,2021
"ROCK STARS",WR,"Terry McLaurin WR • WAS",38,WR,67.0,52.0,2021
"ROCK STARS",RES,"Matthew Stafford QB • LAR",1,QB,285.0,98.0,2021
"ROCK STARS",WR,"Mike Evans WR • TB",33,WR,108.0,108.0,2021
"ROCK STARS",RES,"Chase Edmonds RB • TB",16,RB,39.0,4.0,2021
"ROCK STARS",WR,"DJ Moore WR • CHI",22,WR,65.0,47.0,2021
"ROCK STARS",DST,"Rams DST • LAR",2,DST,91.0,54.0,2021
"ROCK STARS",RES,"David Johnson RB •",2,RB,13.0,1.0,2021
"ROCK STARS",K,"Younghoe Koo K • ATL",1,K,106.0,57.0,2021
"ROCK STARS",RES,"Antonio Brown WR • TB",7,WR,49.0,19.0,2021
"ROCK STARS",RES,"Sony Michel RB •",2,RB,56.0,21.0,2021
"ROCK STARS",RES,"Nelson Agholor WR • BAL",1,WR,30.0,0.0,2021
"ROCK STARS",RES,"Tre'Quan Smith WR • DET",1,WR,20.0,2.0,2021
"GENERALS",QB,"Patrick Mahomes QB • KC",52,QB,285.0,251.0,2021
"GENERALS",RB,"Alvin Kamara RB • NO",75,RB,96.0,6.0,2021
"GENERALS",RB,"Josh Jacobs RB • GB",51,RB,79.0,66.0,2021
"GENERALS",WR,"DeAndre Hopkins WR • BAL",51,WR,67.0,67.0,2021
"GENERALS",WR,"Tyler Lockett WR • TEN",27,WR,84.0,78.0,2021
"GENERALS",K,"Harrison Butker K • KC",4,K,135.0,39.0,2021
"GENERALS",RES,"Latavius Murray RB • BUF",4,RB,40.0,1.0,2021
"GENERALS",WR,"Michael Thomas WR • NO",6,WR,0.0,0.0,2021
"GENERALS",RES,"Melvin Gordon RB •",4,RB,100.0,12.0,2021
"GENERALS",TE,"Robert Tonyan TE • KC",10,TE,17.0,1.0,2021
"GENERALS",RES,"Marquez Callaway WR • TB",5,WR,59.0,1.0,2021
"GENERALS",DST,"Panthers DST • CAR",1,DST,75.0,1.0,2021
"GENERALS",RES,"Kenyan Drake RB •",2,RB,30.0,8.0,2021
"GENERALS",RES,"Kirk Cousins QB • ATL",1,QB,201.0,11.0,2021
"GENERALS",RES,"Henry Ruggs III WR •",6,WR,32.0,0.0,2021
"GENERALS",RES,"Alexander Mattison RB • MIA",1,RB,44.0,37.0,2021
"LA LOSERS",RB,"Najee Harris RB • LAC",59,RB,111.0,111.0,2021
"LA LOSERS",RB,"Austin Ekeler RB • WAS",51,RB,156.0,142.0,2021
"LA LOSERS",RES,"Miles Sanders RB • DAL",23,RB,31.0,24.0,2021
"LA LOSERS",WR,"Justin Jefferson WR • MIN",55,WR,113.0,107.0,2021
"LA LOSERS",WR,"Keenan Allen WR • CHI",40,WR,81.0,42.0,2021
"LA LOSERS",WR,"Odell Beckham Jr. WR • MIA",16,WR,61.0,0.0,2021
"LA LOSERS",RES,"CeeDee Lamb WR • DAL",31,WR,78.0,66.0,2021
"LA LOSERS",RES,"Deebo Samuel WR • WAS",7,WR,158.0,14.0,2021
"LA LOSERS",K,"Rodrigo Blankenship K •",5,K,40.0,40.0,2021
"LA LOSERS",QB,"Taysom Hill TE • NO",1,QB,70.0,0.0,2021
"LA LOSERS",RES,"Matt Ryan QB •",1,QB,149.0,59.0,2021
"LA LOSERS",RES,"Jason Sanders K • MIA",1,K,96.0,46.0,2021
"LA LOSERS",TE,"Jared Cook TE •",1,TE,43.0,29.0,2021
"LA LOSERS",DST,"Ravens DST • BAL",1,DST,62.0,31.0,2021
"LA LOSERS",RES,"Dallas Goedert TE • PHI",1,TE,54.0,31.0,2021
"LA LOSERS",RES,"J.D. McKissic RB •",1,RB,39.0,1.0,2021
"EGYPTIAN MAGICIANS",RB,"Nick Chubb RB • CLE",80,RB,109.0,111.0,2021
"EGYPTIAN MAGICIANS",TE,"George Kittle TE • SF",38,TE,81.0,72.0,2021
"EGYPTIAN MAGICIANS",RB,"Clyde Edwards-Helaire RB • NO",38,RB,60.0,28.0,2021
"EGYPTIAN MAGICIANS",QB,"Kyler Murray QB • ARI",42,QB,200.0,210.0,2021
"EGYPTIAN MAGICIANS",WR,"Adam Thielen WR • CAR",34,WR,85.0,85.0,2021
"EGYPTIAN MAGICIANS",WR,"Allen Robinson WR • DET",28,WR,16.0,8.0,2021
"EGYPTIAN MAGICIANS",WR,"Chris Godwin WR • TB",22,WR,77.0,48.0,2021
"EGYPTIAN MAGICIANS",DST,"Buccaneers DST • TB",1,DST,95.0,4.0,2021
"EGYPTIAN MAGICIANS",K,"Greg Zuerlein K • NYJ",1,K,131.0,16.0,2021
"EGYPTIAN MAGICIANS",RES,"Emmanuel Sanders WR •",1,WR,43.0,23.0,2021
"EGYPTIAN MAGICIANS",RES,"T.Y. Hilton WR •",2,WR,28.0,0.0,2021
"EGYPTIAN MAGICIANS",RES,"Tyler Boyd WR • TEN",4,WR,60.0,11.0,2021
"EGYPTIAN MAGICIANS",RES,"James Conner RB • ARI",1,RB,130.0,79.0,2021
"EGYPTIAN MAGICIANS",RES,"Zack Moss RB • CIN",1,RB,42.0,1.0,2021
"EGYPTIAN MAGICIANS",RES,"Will Fuller WR •",1,WR,2.0,0.0,2021
"EGYPTIAN MAGICIANS",RES,"Mike Williams WR • LAC",6,WR,94.0,10.0,2021
"KENTUCKY FOOTBALL CLUB",RB,"Derrick Henry RB • BAL",101,RB,120.0,112.0,2021
"KENTUCKY FOOTBALL CLUB",WR,"Stefon Diggs WR • NE",57,WR,93.0,9.0,2021
"KENTUCKY FOOTBALL CLUB",RB,"Chris Carson RB •",42,RB,27.0,23.0,2021
"KENTUCKY FOOTBALL CLUB",QB,"Aaron Rodgers QB • NYJ",24,QB,234.0,185.0,2021
"KENTUCKY FOOTBALL CLUB",WR,"DJ Chark WR • LAC",5,WR,18.0,0.0,2021
"KENTUCKY FOOTBALL CLUB",WR,"JuJu Smith-Schuster WR • KC",12,WR,10.0,1.0,2021
"KENTUCKY FOOTBALL CLUB",TE,"Mark Andrews TE • BAL",8,TE,105.0,3.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Cooper Kupp WR • SEA",14,WR,201.0,11.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Damien Harris RB • BUF",13,RB,124.0,17.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Tee Higgins WR • CIN",16,WR,105.0,78.0,2021
"KENTUCKY FOOTBALL CLUB",DST,"49ers DST • SF",3,DST,93.0,10.0,2021
"KENTUCKY FOOTBALL CLUB",K,"Ryan Succop K •",1,K,120.0,120.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Derek Carr QB • NO",1,QB,171.0,14.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Darrynton Evans RB • BUF",1,RB,0.0,0.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Mike Gesicki TE • CIN",1,TE,38.0,1.0,2021
"KENTUCKY FOOTBALL CLUB",RES,"Gus Edwards RB • LAC",1,RB,0.0,0.0,2021
"Munich Cowboys",RB,"Austin Ekeler RB • WAS",74,RB,171.0,156.0,2022
"Munich Cowboys",WR,"Justin Jefferson WR • MIN",77,WR,129.0,128.0,2022
"Munich Cowboys",RB,"Elijah Mitchell RB • KC",17,RB,30.0,1.0,2022
"Munich Cowboys",TE,"Kyle Pitts TE • ATL",26,TE,22.0,13.0,2022
"Munich Cowboys",QB,"Russell Wilson QB • NYG",9,QB,151.0,37.0,2022
"Munich Cowboys",WR,"DJ Moore WR • CHI",19,WR,75.0,30.0,2022
"Munich Cowboys",RES,"Clyde Edwards-Helaire RB • NO",6,RB,47.0,0.0,2022
"Munich Cowboys",DST,"Browns DST • CLE",2,DST,80.0,13.0,2022
"Munich Cowboys",WR,"Brandon Aiyuk WR • SF",7,WR,85.0,42.0,2022
"Munich Cowboys",RES,"Rhamondre Stevenson RB • NE",5,RB,83.0,44.0,2022
"Munich Cowboys",RES,"JuJu Smith-Schuster WR • KC",21,WR,56.0,17.0,2022
"Munich Cowboys",RES,"Dameon Pierce RB • HOU",14,RB,67.0,38.0,2022
"Munich Cowboys",RES,"Amon-Ra St. Brown WR • DET",20,WR,80.0,71.0,2022
"Munich Cowboys",K,"Daniel Carlson K • LV",1,K,148.0,66.0,2022
"Munich Cowboys",RES,"Trevor Lawrence QB • JAC",1,QB,243.0,25.0,2022
"Munich Cowboys",RES,"Darrell Henderson Jr. RB •",1,RB,26.0,7.0,2022
"DONORA DRAGONS",RB,"James Conner RB • ARI",52,RB,81.0,76.0,2022
"DONORA DRAGONS",RB,"Joe Mixon RB • HOU",68,RB,104.0,92.0,2022
"DONORA DRAGONS",QB,"Justin Herbert QB • LAC",38,QB,195.0,177.0,2022
"DONORA DRAGONS",WR,"Mike Evans WR • TB",52,WR,85.0,81.0,2022
"DONORA DRAGONS",WR,"A.J. Brown WR • PHI",38,WR,138.0,3.0,2022
"DONORA DRAGONS",WR,"Terry McLaurin WR • WAS",16,WR,77.0,70.0,2022
"DONORA DRAGONS",RES,"Allen Lazard WR • NYJ",22,WR,61.0,21.0,2022
"DONORA DRAGONS",RES,"George Pickens WR • DAL",2,WR,60.0,3.0,2022
"DONORA DRAGONS",RES,"Rashaad Penny RB •",2,RB,27.0,0.0,2022
"DONORA DRAGONS",DST,"Colts DST • IND",1,DST,83.0,3.0,2022
"DONORA DRAGONS",RES,"Chase Edmonds RB • TB",4,RB,26.0,0.0,2022
"DONORA DRAGONS",RES,"Matt Ryan QB •",1,QB,113.0,0.0,2022
"DONORA DRAGONS",TE,"Dawson Knox TE • BUF",1,TE,58.0,16.0,2022
"DONORA DRAGONS",K,"Matt Prater K • ARI",1,K,88.0,1.0,2022
"DONORA DRAGONS",RES,"Mark Ingram RB •",1,RB,13.0,0.0,2022
"DONORA DRAGONS",RES,"Jamaal Williams RB • NO",1,RB,144.0,49.0,2022
"MASTERS OF DISASTER",RB,"Nick Chubb RB • CLE",44,RB,145.0,135.0,2022
"MASTERS OF DISASTER",WR,"Cooper Kupp WR • SEA",77,WR,81.0,81.0,2022
"MASTERS OF DISASTER",WR,"DK Metcalf WR • PIT",19,WR,94.0,41.0,2022
"MASTERS OF DISASTER",WR,"Ja'Marr Chase WR • CIN",75,WR,120.0,91.0,2022
"MASTERS OF DISASTER",QB,"Joe Burrow QB • CIN",16,QB,309.0,251.0,2022
"MASTERS OF DISASTER",DST,"Bills DST • BUF",2,DST,104.0,74.0,2022
"MASTERS OF DISASTER",RB,"Kareem Hunt RB • KC",12,RB,35.0,20.0,2022
"MASTERS OF DISASTER",RES,"Kirk Cousins QB • ATL",2,QB,232.0,23.0,2022
"MASTERS OF DISASTER",RES,"David Montgomery RB • DET",9,RB,67.0,26.0,2022
"MASTERS OF DISASTER",TE,"Dallas Goedert TE • PHI",9,TE,50.0,36.0,2022
"MASTERS OF DISASTER",RES,"AJ Dillon RB • PHI",16,RB,67.0,4.0,2022
"MASTERS OF DISASTER",RES,"T.J. Hockenson TE • MIN",3,TE,77.0,35.0,2022
"MASTERS OF DISASTER",RES,"Elijah Moore WR • BUF",4,WR,17.0,0.0,2022
"MASTERS OF DISASTER",K,"Matt Gay K • WAS",2,K,122.0,30.0,2022
"MASTERS OF DISASTER",RES,"Christian Kirk WR • HOU",5,WR,102.0,59.0,2022
"MASTERS OF DISASTER",RES,"Kenneth Gainwell RB • PIT",5,RB,42.0,0.0,2022
"LEEDS UNITED",RB,"Najee Harris RB • LAC",62,RB,97.0,10.0,2022
"LEEDS UNITED",QB,"Tom Brady QB •",15,QB,215.0,35.0,2022
"LEEDS UNITED",WR,"CeeDee Lamb WR • DAL",54,WR,120.0,8.0,2022
"LEEDS UNITED",RB,"Josh Jacobs RB • GB",25,RB,145.0,122.0,2022
"LEEDS UNITED",RES,"J.K. Dobbins RB • LAC",32,RB,45.0,2.0,2022
"LEEDS UNITED",WR,"Mike Williams WR • LAC",34,WR,57.0,45.0,2022
"LEEDS UNITED",WR,"Gabe Davis WR • JAC",22,WR,84.0,21.0,2022
"LEEDS UNITED",RES,"Marquise Brown WR • KC",26,WR,41.0,13.0,2022
"LEEDS UNITED",RES,"Allen Robinson WR • DET",22,WR,26.0,0.0,2022
"LEEDS UNITED",DST,"Steelers DST • PIT",2,DST,73.0,1.0,2022
"LEEDS UNITED",TE,"Zach Ertz TE • WAS",1,TE,38.0,38.0,2022
"LEEDS UNITED",RES,"Tua Tagovailoa QB • MIA",1,QB,178.0,131.0,2022
"LEEDS UNITED",RES,"David Njoku TE • CLE",1,TE,42.0,16.0,2022
"LEEDS UNITED",K,"Younghoe Koo K • ATL",1,K,136.0,27.0,2022
"LEEDS UNITED",RES,"James Robinson RB • NO",1,RB,46.0,13.0,2022
"LEEDS UNITED",RES,"Jameis Winston QB • NYG",1,QB,32.0,0.0,2022
"HOMERS HEROES",RB,"Dalvin Cook RB • DAL",68,RB,113.0,107.0,2022
"HOMERS HEROES",RB,"Aaron Jones RB • MIN",41,RB,93.0,19.0,2022
"HOMERS HEROES",RES,"Christian McCaffrey RB • SF",79,RB,173.0,138.0,2022
"HOMERS HEROES",QB,"Kyler Murray QB • ARI",23,QB,136.0,136.0,2022
"HOMERS HEROES",WR,"Davante Adams WR • LAR",54,WR,154.0,152.0,2022
"HOMERS HEROES",TE,"Dalton Schultz TE • HOU",6,TE,68.0,43.0,2022
"HOMERS HEROES",WR,"Robert Woods WR • PIT",2,WR,26.0,1.0,2022
"HOMERS HEROES",WR,"Darnell Mooney WR • ATL",4,WR,27.0,9.0,2022
"HOMERS HEROES",DST,"Rams DST • LAR",1,DST,68.0,4.0,2022
"HOMERS HEROES",RES,"Trey Lance QB • LAC",4,QB,4.0,0.0,2022
"HOMERS HEROES",K,"Ryan Succop K •",1,K,119.0,81.0,2022
"HOMERS HEROES",RES,"Marquez Valdes-Scantling WR • SEA",4,WR,50.0,0.0,2022
"HOMERS HEROES",RES,"Tyler Allgeier RB • ATL",1,RB,65.0,20.0,2022
"HOMERS HEROES",RES,"Russell Gage WR • SF",1,WR,42.0,0.0,2022
"HOMERS HEROES",RES,"Chase Claypool WR • BUF",1,WR,24.0,1.0,2022
"HOMERS HEROES",RES,"Michael Carter RB • ARI",1,RB,32.0,0.0,2022
