week,away_team,home_team,away_result,home_result
1,"Generals","Kentucky Football Club",99.0,51.0
1,"Rock Stars","Munich Cowboys",73.0,65.0
1,"Leeds United","Egyptian Magicians",73.0,87.0
1,"Donora Dragons","Homers Heroes",60.0,44.0
1,"Masters of Disaster","LA Losers",65.0,36.0
2,"Egyptian Magicians","Masters of Disaster",80.0,68.0
2,"Donora Dragons","Leeds United",37.0,69.0
2,"Munich Cowboys","Homers Heroes",55.0,46.0
2,"Rock Stars","Generals",52.0,66.0
2,"LA Losers","Kentucky Football Club",57.0,109.0
3,"LA Losers","Rock Stars",53.0,50.0
3,"Kentucky Football Club","Donora Dragons",81.0,60.0
3,"Homers Heroes","Egyptian Magicians",78.0,52.0
3,"Masters of Disaster","Leeds United",69.0,67.0
3,"Munich Cowboys","Generals",64.0,60.0
4,"Homers Heroes","Masters of Disaster",47.0,76.0
4,"Leeds United","Rock Stars",81.0,88.0
4,"Egyptian Magicians","Donora Dragons",49.0,59.0
4,"Kentucky Football Club","Munich Cowboys",58.0,95.0
4,"Generals","LA Losers",57.0,63.0
5,"Kentucky Football Club","Rock Stars",82.0,95.0
5,"Munich Cowboys","LA Losers",79.0,45.0
5,"Generals","Egyptian Magicians",80.0,91.0
5,"Leeds United","Homers Heroes",82.0,80.0
5,"Masters of Disaster","Donora Dragons",105.0,76.0
6,"Rock Stars","Donora Dragons",62.0,59.0
6,"Egyptian Magicians","Munich Cowboys",68.0,62.0
6,"Kentucky Football Club","Masters of Disaster",101.0,44.0
6,"Homers Heroes","Generals",93.0,62.0
6,"LA Losers","Leeds United",57.0,65.0
7,"Donora Dragons","Generals",62.0,54.0
7,"Leeds United","Kentucky Football Club",56.0,67.0
7,"Homers Heroes","LA Losers",40.0,40.0
7,"Masters of Disaster","Munich Cowboys",64.0,73.0
7,"Rock Stars","Egyptian Magicians",67.0,66.0
8,"LA Losers","Masters of Disaster",50.0,46.0
8,"Munich Cowboys","Egyptian Magicians",59.0,23.0
8,"Rock Stars","Leeds United",62.0,98.0
8,"Donora Dragons","Kentucky Football Club",54.0,51.0
8,"Generals","Homers Heroes",44.0,46.0
9,"Leeds United","Munich Cowboys",33.0,53.0
9,"Egyptian Magicians","LA Losers",105.0,56.0
9,"Donora Dragons","Rock Stars",35.0,82.0
9,"Homers Heroes","Kentucky Football Club",30.0,22.0
9,"Generals","Masters of Disaster",38.0,59.0
10,"Donora Dragons","Generals",43.0,66.0
10,"Kentucky Football Club","Leeds United",47.0,53.0
10,"Masters of Disaster","Egyptian Magicians",50.0,56.0
10,"Homers Heroes","Rock Stars",49.0,35.0
10,"LA Losers","Munich Cowboys",57.0,45.0
11,"Munich Cowboys","Kentucky Football Club",64.0,59.0
11,"Egyptian Magicians","Rock Stars",72.0,118.0
11,"LA Losers","Donora Dragons",56.0,39.0
11,"Leeds United","Homers Heroes",63.0,70.0
11,"Generals","Masters of Disaster",28.0,36.0
12,"Munich Cowboys","Donora Dragons",48.0,36.0
12,"LA Losers","Homers Heroes",41.0,70.0
12,"Egyptian Magicians","Kentucky Football Club",49.0,68.0
12,"Masters of Disaster","Rock Stars",29.0,57.0
12,"Generals","Leeds United",59.0,50.0
13,"Rock Stars","LA Losers",79.0,76.0
13,"Donora Dragons","Leeds United",64.0,54.0
13,"Egyptian Magicians","Homers Heroes",85.0,49.0
13,"Munich Cowboys","Masters of Disaster",38.0,25.0
13,"Kentucky Football Club","Generals",53.0,73.0
14,"Homers Heroes","Masters of Disaster",94.0,32.0
14,"Egyptian Magicians","Donora Dragons",65.0,84.0
14,"Leeds United","Munich Cowboys",70.0,55.0
14,"Kentucky Football Club","LA Losers",76.0,68.0
14,"Rock Stars","Generals",59.0,78.0
15,"Generals","LA Losers",44.0,42.0
15,"Kentucky Football Club","Homers Heroes",80.0,47.0
15,"Masters of Disaster","Donora Dragons",72.0,23.0
15,"Leeds United","Egyptian Magicians",43.0,55.0
15,"Rock Stars","Munich Cowboys",53.0,63.0
16,"Munich Cowboys","Generals",71.0,57.0
16,"Kentucky Football Club","Rock Stars",94.0,45.0
16,"Homers Heroes","Donora Dragons",80.0,73.0
16,"Masters of Disaster","Leeds United",62.0,59.0
16,"LA Losers","Egyptian Magicians",48.0,43.0
17,"Homers Heroes","Munich Cowboys",70.0,31.0
17,"Leeds United","Generals",43.0,73.0
17,"Masters of Disaster","Rock Stars",85.0,50.0
17,"Egyptian Magicians","Kentucky Football Club",54.0,75.0
17,"Donora Dragons","LA Losers",79.0,73.0
18,"Munich Cowboys","Homers Heroes",80.0,70.0
18,"TBA","TBA",0.0,0.0
18,"TBA","TBA",0.0,0.0
18,"TBA","TBA",0.0,0.0
18,"TBA","TBA",0.0,0.0